EXPERIMENT_PARAMS,1,11,15,generations:101,popsPerGen:100,childrenPercentage:50,mutationRate:2.000000,strategyLength:15,SimulationsRun:1,N:15 K:6,HillClimbSteepest:true,Seed:-2703767656899849600
Experiment Number: ,0.0.0,0
0,0.196657,0.530000,0.510000,0.520000,0.550000,0.470000,0.630000,0.550000,0.490000,0.540000,0.500000,0.500000,0.510000,0.530000,0.540000,0.550000
10,0.368166,0.040000,0.830000,0.700000,0.540000,0.300000,0.720000,0.830000,0.880000,0.900000,0.570000,0.560000,0.740000,0.790000,0.520000,1.000000
20,0.432083,0.010000,0.990000,0.850000,0.540000,0.440000,0.660000,0.900000,0.750000,0.940000,0.430000,0.340000,0.820000,0.610000,0.850000,0.990000
30,0.412329,0.000000,0.940000,0.910000,0.390000,0.600000,0.830000,0.980000,0.900000,0.800000,0.260000,0.580000,0.680000,0.730000,0.930000,0.980000
40,0.403222,0.090000,0.680000,0.980000,0.530000,0.850000,0.810000,0.800000,0.850000,0.720000,0.390000,0.850000,0.860000,0.720000,0.970000,0.990000
50,0.430340,0.030000,0.900000,0.890000,0.450000,0.650000,0.750000,0.770000,0.720000,0.660000,0.390000,0.870000,0.750000,0.730000,0.830000,0.990000
60,0.423512,0.010000,0.970000,0.930000,0.430000,0.770000,0.750000,0.830000,0.510000,0.850000,0.430000,1.000000,0.750000,0.690000,0.780000,0.980000
70,0.423730,0.000000,1.000000,1.000000,0.480000,0.650000,0.590000,0.950000,0.340000,0.710000,0.530000,0.920000,0.990000,0.680000,0.980000,0.990000
80,0.453057,0.010000,0.960000,0.930000,0.250000,0.720000,0.740000,0.900000,0.080000,0.630000,0.560000,0.930000,0.760000,0.750000,0.910000,1.000000
90,0.435686,0.000000,0.980000,0.920000,0.560000,0.670000,0.660000,0.960000,0.280000,0.820000,0.580000,0.820000,0.670000,0.790000,0.750000,1.000000
100,0.422723,0.010000,0.950000,0.980000,0.610000,0.640000,0.790000,0.950000,0.310000,0.950000,0.450000,0.840000,0.670000,0.700000,0.770000,0.990000
Comparison: Pure SHC,0.096566
Experiment Number: ,0.0.1,1
0,0.131888,0.590000,0.530000,0.530000,0.500000,0.560000,0.540000,0.500000,0.560000,0.470000,0.580000,0.550000,0.490000,0.490000,0.410000,0.430000
10,0.396464,0.320000,0.560000,0.660000,0.220000,0.350000,0.830000,0.490000,0.870000,0.360000,0.770000,0.740000,0.810000,0.730000,0.630000,0.970000
20,0.423060,0.070000,0.840000,0.660000,0.560000,0.510000,0.980000,0.330000,0.850000,0.760000,0.920000,0.670000,0.840000,0.690000,0.830000,0.980000
30,0.423278,0.010000,0.890000,0.930000,0.850000,0.600000,0.950000,0.600000,0.760000,0.800000,0.930000,0.750000,0.490000,0.740000,0.970000,0.970000
40,0.412730,0.000000,0.870000,0.790000,0.980000,0.510000,0.850000,0.500000,0.550000,0.870000,0.920000,0.940000,0.270000,0.980000,0.950000,0.990000
50,0.439756,0.010000,0.980000,0.910000,0.860000,0.630000,0.840000,0.760000,0.370000,0.830000,0.930000,0.800000,0.070000,0.800000,0.820000,0.990000
60,0.439964,0.010000,0.820000,0.870000,1.000000,0.680000,0.610000,0.860000,0.210000,0.740000,0.950000,0.950000,0.210000,0.990000,0.470000,0.990000
70,0.426047,0.060000,0.930000,0.980000,0.890000,0.530000,0.510000,0.870000,0.470000,0.700000,0.950000,0.900000,0.260000,0.950000,0.440000,0.980000
80,0.454522,0.040000,0.860000,0.900000,0.930000,0.810000,0.290000,0.950000,0.540000,0.850000,0.940000,1.000000,0.210000,1.000000,0.660000,0.990000
90,0.443499,0.000000,0.970000,0.900000,0.860000,0.630000,0.340000,0.840000,0.760000,0.750000,0.900000,0.970000,0.200000,0.980000,0.630000,0.970000
100,0.444498,0.030000,0.910000,0.970000,0.660000,0.640000,0.400000,0.860000,0.870000,0.830000,0.780000,0.630000,0.480000,0.980000,0.810000,1.000000
Comparison: Pure SHC,0.096566
Experiment Number: ,0.0.2,2
