EXPERIMENT_PARAMS,1,10,15,generations:100,popsPerGen:100,childrenPercentage:75,mutationRate:2.000000,strategyLength:15,SimulationsRun:1,N:15 K:6,HillClimbSteepest:true,Seed:-1242533947698841729
Experiment Number: ,0
0,0.143568,0.500000,0.500000,0.490000,0.530000,0.520000,0.540000,0.440000,0.550000,0.480000,0.490000,0.500000,0.540000,0.470000,0.470000,0.550000
10,0.254914,0.910000,0.450000,0.150000,0.790000,0.800000,0.780000,0.720000,0.320000,0.440000,0.860000,0.420000,0.890000,0.350000,0.980000,0.990000
20,0.290669,1.000000,0.990000,0.040000,0.960000,0.300000,0.990000,0.990000,0.020000,0.950000,0.980000,0.140000,0.980000,0.550000,1.000000,0.970000
30,0.303334,0.980000,0.990000,0.090000,1.000000,0.140000,1.000000,0.960000,0.010000,0.930000,0.990000,0.220000,0.940000,0.730000,0.780000,0.980000
40,0.285188,0.970000,0.940000,0.000000,0.980000,0.020000,0.900000,0.900000,0.060000,0.930000,0.670000,0.440000,0.790000,0.990000,0.970000,0.990000
50,0.298809,1.000000,1.000000,0.070000,0.970000,0.210000,0.880000,0.890000,0.010000,0.990000,0.690000,0.420000,0.700000,1.000000,0.990000,0.980000
60,0.287895,0.860000,1.000000,0.010000,0.990000,0.070000,0.960000,0.840000,0.020000,0.810000,0.820000,0.540000,0.880000,0.980000,0.990000,0.950000
70,0.252137,0.970000,1.000000,0.210000,1.000000,0.190000,0.990000,0.980000,0.230000,0.690000,0.410000,0.810000,0.610000,1.000000,0.960000,0.990000
80,0.265895,0.990000,0.840000,0.010000,0.930000,0.000000,0.930000,0.890000,0.150000,0.710000,0.440000,1.000000,0.260000,0.960000,0.990000,1.000000
90,0.313672,0.860000,0.940000,0.010000,0.990000,0.000000,0.910000,0.970000,0.210000,0.360000,0.790000,1.000000,0.250000,0.910000,0.880000,1.000000
Comparison: Pure SHC,0.103581

